time_rel(sec),velocity(m/s)
26083.16981132076,4504.0
26083.32075471698,5346.0
26083.471698113208,3794.0
26083.622641509435,656.0
26085.283018867925,2014.0000000000002
26085.43396226415,3327.9999999999995
26085.584905660377,2331.0
26086.33962264151,1077.0
26086.490566037737,3198.0
26086.64150943396,3971.0
26086.79245283019,3234.0
26086.943396226416,1506.0
26087.849056603773,1087.0
26088.0,2070.0
26088.150943396227,1974.0
26088.30188679245,980.9999999999999
26088.754716981133,142.0
26088.90566037736,938.0
26089.056603773584,807.0000000000001
26089.962264150945,3459.0000000000005
26090.11320754717,5870.0
26090.2641509434,5278.0
26090.415094339623,2074.0
26091.77358490566,574.0
26091.924528301886,3607.0
26092.07547169812,5907.0
26092.22641509434,6275.0
26092.377358490565,4761.0
26092.528301886792,2604.0
26092.67924528302,1196.0
26092.830188679247,963.0
26092.98113207547,1108.0
26093.13207547169,430.0
26094.18867924528,234.0
26094.33962264151,130.0
26094.490566037737,356.0
26094.64150943396,2084.0
26094.79245283019,5088.0
26094.943396226416,7582.999999999999
26095.094339622643,7450.0
26095.245283018867,3954.0
26097.056603773584,1675.0
26097.20754716981,2768.0
26097.35849056604,2029.0
26097.509433962263,1010.0
26097.66037735849,1496.0
26097.81132075472,3835.0
26097.962264150945,6435.0
26098.11320754717,6951.0
26098.2641509434,4243.0
26099.01886792453,4084.9999999999995
26099.16981132076,7123.0
26099.32075471698,6161.0
26099.471698113208,1872.0
26100.22641509434,1042.0
26100.377358490565,193.0
26101.283018867925,2149.0
26101.43396226415,5065.0
26101.584905660377,4903.0
26101.735849056604,2594.0
26101.88679245283,234.0
26102.18867924528,1292.0
26102.33962264151,3891.0
26102.490566037737,5424.0
26102.64150943396,4416.0
26102.79245283019,987.0
26103.54716981132,4070.0
26103.69811320755,6665.0
26103.849056603773,5704.0
26104.0,1841.0
26104.603773584902,236.0
26104.754716981133,3065.0
26104.90566037736,2884.0
26105.81132075472,402.0
26105.962264150945,4444.0
26106.11320754717,5470.0
26106.2641509434,3802.0
26106.415094339623,1272.0
26106.716981132075,456.0
26106.867924528306,2542.0
26107.01886792453,4807.0
26107.16981132076,6109.0
26107.32075471698,6025.0
26107.471698113208,4739.0
26107.622641509435,2564.0
26108.830188679247,3139.0
26108.98113207547,4890.0
26109.13207547169,3497.9999999999995
26109.283018867925,236.0
26109.88679245283,3484.0000000000005
26110.03773584905,5252.0
26110.18867924528,3665.0
26111.094339622643,3954.0
26111.245283018867,6561.0
26111.39622641509,6002.0
