time_rel(sec),velocity(m/s)
54734.943396226416,75.0
54735.09433962264,204.00000000000003
54735.24528301887,216.0
54735.3962264151,110.0
54736.15094339623,53.0
54736.301886792455,141.0
54736.45283018868,124.0
54736.6037735849,23.999999999999996
54737.056603773584,63.0
54737.20754716981,267.0
54737.35849056604,419.0
54737.50943396227,412.0
54737.660377358494,229.0
54738.56603773585,80.0
54738.71698113208,119.00000000000001
54738.8679245283,26.0
54739.77358490566,168.0
54739.92452830189,362.00000000000006
54740.07547169811,417.0
54740.22641509434,301.0
54740.377358490565,68.0
54741.1320754717,165.0
54741.28301886792,217.0
54741.43396226415,101.0
54742.188679245286,134.0
54742.33962264151,233.0
54742.49056603773,157.0
54743.3962264151,109.0
54743.54716981132,172.0
54743.698113207545,142.0
54743.84905660377,88.0
54744.0,85.0
54744.15094339623,156.0
54744.301886792455,261.0
54744.45283018868,323.0
54744.6037735849,286.0
54744.75471698113,146.0
54746.41509433962,7.0
54746.56603773585,122.00000000000001
54746.71698113208,233.0
54746.8679245283,272.0
54747.018867924526,199.0
54747.16981132075,42.0
54747.77358490566,105.0
54747.92452830189,272.0
54748.07547169811,295.0
54748.22641509434,125.0
54749.1320754717,134.0
54749.28301886792,269.0
54749.43396226415,202.0
54750.33962264151,105.0
54750.49056603773,264.0
54750.64150943396,334.0
54750.79245283019,339.0
54750.943396226416,323.0
54751.09433962264,318.0
54751.24528301887,317.0
54751.3962264151,286.0
54751.54716981132,201.0
54751.698113207545,69.0
54753.81132075472,14.0
54753.96226415094,46.0
54754.11320754717,53.0
54754.2641509434,64.0
54754.41509433962,91.0
54754.56603773585,127.0
54754.71698113208,148.0
54754.8679245283,142.0
54755.018867924526,112.99999999999999
54755.16981132075,82.0
54755.32075471698,65.0
54755.47169811321,64.0
54755.62264150944,62.0
54755.77358490566,42.0
54755.92452830189,0.0
54757.73584905661,23.999999999999996
54757.88679245283,16.0
54758.188679245286,20.0
54758.33962264151,129.0
54758.49056603773,305.0
54758.64150943396,468.0
54758.79245283019,520.0
54758.943396226416,404.0
54759.09433962264,149.0
54760.0,80.0
54760.15094339623,11.999999999999998
54761.20754716981,63.0
54761.35849056604,63.0
54761.50943396227,11.999999999999998
54761.660377358494,10.0
54761.81132075472,123.0
54761.96226415094,332.0
54762.11320754717,536.0
54762.2641509434,604.0
54762.41509433962,466.0
54762.56603773585,156.0
54763.47169811321,139.0
54763.62264150944,217.0
54763.77358490566,185.0
54763.92452830189,104.0
54764.07547169811,28.0
54765.1320754717,39.0
54765.28301886792,188.0
54765.43396226415,206.0
54765.58490566038,67.0
54766.188679245286,28.0
54766.33962264151,324.0
54766.49056603773,476.00000000000006
54766.64150943396,371.0
54766.79245283019,60.0
54767.54716981132,145.0
54767.698113207545,219.0
54767.84905660377,98.0
54768.45283018868,105.0
54768.6037735849,361.0
54768.75471698113,492.99999999999994
54768.90566037736,441.0
54769.056603773584,250.0
54769.20754716981,34.0
54771.62264150944,98.0
54771.77358490566,268.0
54771.92452830189,328.0
54772.07547169811,258.0
54772.22641509434,115.0
54772.377358490565,7.0
54772.52830188679,16.0
54772.67924528302,149.0
54772.83018867925,322.0
54772.981132075474,415.0
54773.1320754717,354.99999999999994
54773.28301886792,159.0
54774.03773584906,26.0
54774.188679245286,72.0
54774.33962264151,16.0
54776.6037735849,88.0
54776.75471698113,268.0
54776.90566037736,375.0
54777.056603773584,337.0
54777.20754716981,179.0
54777.35849056604,20.0
54777.660377358494,136.0
54777.81132075472,360.0
54777.96226415094,494.0
54778.11320754717,409.0
