time_rel(sec),velocity(m/s)
44194.41509433962,12242.0
44194.56603773585,4838.0
44196.377358490565,5887.0
44196.52830188679,14875.0
44196.67924528302,15375.0
44196.83018867925,8539.0
44196.981132075474,2004.9999999999998
44197.1320754717,4461.0
44197.28301886792,18787.0
44197.43396226415,14896.0
44197.58490566038,11004.0
44197.73584905661,7113.0
44197.88679245283,3222.0
44198.64150943396,1633.0
44198.79245283019,15202.0
44198.943396226416,13679.0
44200.0,2479.0
44200.15094339623,2712.0
44200.75471698113,3877.0
44200.90566037736,9713.0
44201.056603773584,10734.0
44201.20754716981,6417.0
44201.35849056604,223.0
44201.81132075472,2382.0
44201.96226415094,5145.0
44202.11320754717,3178.0
44202.8679245283,2023.0
44203.018867924526,6300.0
44203.16981132075,4016.9999999999995
44203.77358490566,10816.0
44203.92452830189,10304.0
44204.07547169811,9792.0
44204.22641509434,9280.0
44204.377358490565,8768.0
44205.1320754717,10326.0
44205.28301886792,11750.0
44205.43396226415,13174.0
44206.188679245286,8407.0
44206.33962264151,11346.0
44206.49056603773,14286.0
44206.64150943396,17225.0
44207.3962264151,12082.0
44207.54716981132,14457.0
44207.698113207545,16832.0
44207.84905660377,2607.0
44208.6037735849,2379.0
44208.75471698113,4490.0
44208.90566037736,1745.0
44209.50943396227,3171.0
44209.660377358494,5508.0
44209.81132075472,5001.0
44209.96226415094,2553.0
44210.11320754717,298.0
44210.41509433962,1028.0
44210.56603773585,2581.0
44210.71698113208,3046.0
44210.8679245283,2032.0
44211.018867924526,314.0
44211.62264150944,376.0
44211.77358490566,428.0
44214.79245283019,74.0
44214.943396226416,119.0
44215.09433962264,128.0
44215.24528301887,108.0
44215.3962264151,72.0
44215.54716981132,37.0
44215.698113207545,28.0
44215.84905660377,57.0
44216.0,116.0
44216.15094339623,171.0
44216.301886792455,183.0
44216.45283018868,146.0
44216.6037735849,87.0
44216.75471698113,56.0
44216.90566037736,80.0
44217.056603773584,146.0
44217.20754716981,204.0
44217.35849056604,212.0
44217.50943396227,163.0
44217.660377358494,94.0
44217.81132075472,52.0
44217.96226415094,60.0
44218.11320754717,101.0
44218.2641509434,131.0
44218.41509433962,120.0
44218.56603773585,69.0
44218.71698113208,10.0
44219.32075471698,13.0
44219.47169811321,7.0
44223.698113207545,0.0
44223.84905660377,16.0
44224.0,21.0
44224.15094339623,15.0
44224.301886792455,8.0
44224.45283018868,8.0
44224.6037735849,15.0
44224.75471698113,25.0
44224.90566037736,33.0
44225.056603773584,34.0
44225.20754716981,29.0
44225.35849056604,24.0
44225.50943396227,21.0
44225.660377358494,21.0
44225.81132075472,22.0
44225.96226415094,25.0
44226.11320754717,26.0
44226.2641509434,26.0
44226.41509433962,24.0
44226.56603773585,21.0
44226.71698113208,17.0
44226.8679245283,15.0
44227.018867924526,15.0
44227.16981132075,17.0
44227.32075471698,18.0
44227.47169811321,18.0
44227.62264150944,13.0
44227.77358490566,8.0
44227.92452830189,2.0
44232.15094339623,10.0
44232.301886792455,17.0
44232.45283018868,15.0
44232.6037735849,6.0
44232.90566037736,3.0
44233.056603773584,18.0
44233.20754716981,34.0
44233.35849056604,39.0
44233.50943396227,30.0
44233.660377358494,15.0
44233.81132075472,6.0
44233.96226415094,12.0
44234.11320754717,29.0
44234.2641509434,42.0
44234.41509433962,43.0
44234.56603773585,31.0
44234.71698113208,18.0
44234.8679245283,13.0
44235.018867924526,17.0
44235.16981132075,24.0
44235.32075471698,29.0
44235.47169811321,29.0
44235.62264150944,27.0
44235.77358490566,24.0
44235.92452830189,16.0
44236.07547169811,1.0
44236.67924528302,6.0
44236.83018867925,10.0
44238.79245283019,2.0
44238.943396226416,1.0
44239.84905660377,28.0
44240.0,16.0
44241.056603773584,47.0
44241.20754716981,144.0
44241.35849056604,222.0
44241.50943396227,209.0
44241.660377358494,103.0
44241.81132075472,14.0
44241.96226415094,101.0
44242.11320754717,411.0
44242.2641509434,789.0
44242.41509433962,958.0
44242.56603773585,754.0
44242.71698113208,318.0
44242.8679245283,52.0
44243.018867924526,299.0
44243.16981132075,992.0
44243.32075471698,1610.0
44243.47169811321,1544.0
44243.62264150944,646.0
44244.22641509434,633.0
44244.377358490565,1305.0
44244.52830188679,472.0
44245.43396226415,486.0
44246.33962264151,3666.0
44246.49056603773,5288.0
44246.64150943396,1605.0
44247.24528301887,13016.0
44247.3962264151,14387.0
44247.54716981132,15758.999999999998
44247.698113207545,17130.0
44248.45283018868,3657.0
44248.6037735849,3186.0
44248.75471698113,2716.0
44248.90566037736,2245.0
44249.50943396227,8322.0
44249.660377358494,11439.0
44249.81132075472,14556.0
44249.96226415094,17672.0
44250.71698113208,10943.0
44250.8679245283,10848.0
44251.018867924526,10754.0
44251.92452830189,990.9999999999999
44252.52830188679,8642.0
44252.67924528302,10943.0
44252.83018867925,13244.0
44252.981132075474,15546.0
44253.73584905661,8659.0
44253.88679245283,12279.0
44254.03773584906,15897.999999999998
44254.64150943396,12890.0
44254.79245283019,9890.0
44254.943396226416,6891.0
44255.09433962264,3891.0
44255.24528301887,892.0
44255.3962264151,1855.0
44255.54716981132,2818.0
44255.698113207545,3782.0
44255.84905660377,4745.0
44256.0,3788.0
44256.15094339623,2830.0
44256.301886792455,1873.0
44257.20754716981,1061.0
44257.96226415094,3716.0
44258.11320754717,5372.0
44258.2641509434,3554.0
44258.41509433962,1172.0
44258.56603773585,1441.0
44258.71698113208,4543.0
44258.8679245283,7313.0
44259.018867924526,6373.0
44259.16981132075,1881.0
44259.47169811321,809.0
44259.62264150944,10490.0
44259.77358490566,12252.0
44259.92452830189,14014.0
44260.07547169811,15775.999999999998
44260.981132075474,14664.0
44261.1320754717,17779.0
44261.28301886792,4280.0
44261.88679245283,6420.0
44262.03773584906,7603.0
44262.188679245286,8786.0
44262.33962264151,9970.0
44262.49056603773,11153.0
44263.24528301887,17194.0
44263.3962264151,14210.0
44263.54716981132,11227.0
44264.6037735849,454.0
44265.35849056604,307.0
44265.50943396227,8636.0
44265.660377358494,10874.0
44265.81132075472,6361.0
44266.2641509434,8796.0
44266.41509433962,8177.999999999999
44266.56603773585,7560.0
44266.71698113208,6943.0
44266.8679245283,6326.0
44267.018867924526,5708.0
44267.16981132075,501.00000000000006
44267.77358490566,4993.0
44267.92452830189,10779.0
44268.981132075474,648.0
44269.1320754717,2468.0
44269.28301886792,4288.0
44270.03773584906,12759.0
44270.188679245286,16424.0
44270.33962264151,13164.0
44270.49056603773,9669.0
44270.64150943396,9952.0
44270.79245283019,11680.0
44270.943396226416,8852.0
44271.84905660377,11929.0
44272.0,14332.0
44272.15094339623,16734.0
44272.301886792455,1088.0
44273.056603773584,5884.0
44273.20754716981,8377.0
44273.35849056604,4884.0
44273.50943396227,403.0
44273.81132075472,1121.0
44273.96226415094,3686.0
44274.11320754717,4012.0
44274.2641509434,1940.0
44275.62264150944,1217.0
44275.77358490566,3953.0
44275.92452830189,1765.0
44276.377358490565,227.0
44276.52830188679,14525.0
44276.67924528302,12446.0
