time_rel(sec),velocity(m/s)
49232.75471698113,1621.9999999999998
49232.90566037736,1677.0
49233.056603773584,1731.0
49233.20754716981,451.99999999999994
49233.96226415094,727.0
49234.11320754717,1100.0
49234.2641509434,563.0
49235.16981132075,215.0
49235.32075471698,301.0
49235.47169811321,40.0
49235.92452830189,6.999999999999999
49236.07547169811,334.0
49236.22641509434,496.99999999999994
49236.377358490565,415.99999999999994
49236.52830188679,200.0
49236.67924528302,35.0
49236.83018867925,33.0
49236.981132075474,155.0
49237.1320754717,272.0
49237.28301886792,277.0
49237.43396226415,165.0
49237.58490566038,23.0
49238.03773584906,25.0
49238.188679245286,62.0
49238.33962264151,38.0
49241.20754716981,5.0
49241.35849056604,11.0
49241.50943396227,10.0
49241.660377358494,4.0
49241.96226415094,6.999999999999999
49242.11320754717,29.999999999999996
49242.2641509434,55.0
49242.41509433962,61.0
49242.56603773585,41.0
49242.71698113208,12.0
49242.8679245283,6.999999999999999
49243.018867924526,42.0
49243.16981132075,98.0
49243.32075471698,126.0
49243.47169811321,88.0
49243.62264150944,1.0
49244.07547169811,8.0
49244.22641509434,86.0
49244.377358490565,69.0
49245.28301886792,17.0
49246.188679245286,184.0
49246.33962264151,406.0
49246.49056603773,239.00000000000003
49247.09433962264,708.0
49247.24528301887,659.0
49247.3962264151,610.0
49247.54716981132,561.0
49247.698113207545,512.0
49248.45283018868,728.0
49248.6037735849,651.0
49248.75471698113,573.0
49249.660377358494,208.99999999999997
49249.81132075472,296.0
49249.96226415094,36.0
49250.41509433962,11.0
49250.56603773585,337.0
49250.71698113208,496.0
49250.8679245283,408.00000000000006
49251.018867924526,188.0
49251.16981132075,24.0
49251.32075471698,27.0
49251.47169811321,155.0
49251.62264150944,272.0
49251.77358490566,271.0
49251.92452830189,152.0
49252.07547169811,6.0
49252.52830188679,27.0
49252.67924528302,68.0
49252.83018867925,42.0
49256.301886792455,2.0
49257.20754716981,6.999999999999999
49257.35849056604,9.0
49257.50943396227,6.0
49258.41509433962,3.0
49258.56603773585,0.0
49259.47169811321,2.0
49259.62264150944,2.0
49260.377358490565,4.0
49260.52830188679,12.0
49260.67924528302,10.0
49260.83018867925,2.0
49261.28301886792,1.0
49261.43396226415,4.0
49261.58490566038,5.0
49261.73584905661,8.0
49261.88679245283,17.0
49262.03773584906,27.999999999999996
49262.188679245286,31.0
49262.33962264151,19.0
49262.49056603773,6.0
49262.64150943396,12.0
49262.79245283019,51.99999999999999
49262.943396226416,106.0
49263.09433962264,138.0
49263.24528301887,116.0
49263.3962264151,55.99999999999999
49263.54716981132,13.999999999999998
49263.698113207545,43.0
49263.84905660377,142.0
49264.0,235.0
49264.15094339623,231.0
49264.301886792455,103.00000000000001
49264.90566037736,92.0
49265.056603773584,186.0
49265.20754716981,53.0
49265.35849056604,32.0
49265.50943396227,11.0
49266.11320754717,45.0
49266.2641509434,6.999999999999999
49267.16981132075,35.0
49267.32075471698,125.0
49267.47169811321,147.0
49267.62264150944,169.0
49267.77358490566,192.0
49267.92452830189,170.0
49268.07547169811,149.0
49268.22641509434,128.0
49268.377358490565,106.0
49268.52830188679,85.0
49268.67924528302,63.0
49268.83018867925,42.0
49268.981132075474,21.0
49270.79245283019,6.0
49270.943396226416,14.999999999999998
49271.09433962264,24.0
49271.24528301887,33.0
49272.301886792455,88.0
49272.45283018868,197.0
49272.6037735849,145.0
49272.75471698113,93.0
49272.90566037736,41.0
49273.35849056604,111.99999999999999
49273.50943396227,116.0
49273.660377358494,119.99999999999999
49273.81132075472,124.0
49273.96226415094,128.0
49274.41509433962,39.0
49274.56603773585,147.0
49274.71698113208,182.0
49274.8679245283,116.0
49276.83018867925,149.0
49276.981132075474,174.0
49277.1320754717,199.0
49279.698113207545,25.999999999999996
49279.84905660377,86.0
49280.0,146.0
49280.15094339623,206.00000000000003
49280.301886792455,265.0
49280.45283018868,269.0
49280.6037735849,273.0
49281.20754716981,184.0
49281.35849056604,142.0
49281.50943396227,99.0
49281.660377358494,55.99999999999999
49281.81132075472,12.999999999999998
49282.56603773585,62.0
49284.67924528302,2.0
