time_rel(sec),velocity(m/s)
49093.58490566038,55.0
49093.73584905661,101.0
49093.88679245283,122.00000000000001
49094.03773584906,154.0
49094.188679245286,222.0
49094.33962264151,313.0
49094.49056603773,382.0
49094.64150943396,383.99999999999994
49094.79245283019,315.0
49094.943396226416,221.00000000000003
49095.09433962264,164.0
49095.24528301887,168.0
49095.3962264151,198.00000000000003
49095.54716981132,176.0
49095.698113207545,44.0
49097.50943396227,4.0
49097.660377358494,183.0
49097.81132075472,264.0
49097.96226415094,229.0
49098.11320754717,135.0
49098.2641509434,65.0
49098.41509433962,75.0
49098.56603773585,160.0
49098.71698113208,270.0
49098.8679245283,348.0
49099.018867924526,363.0
49099.16981132075,319.0
49099.32075471698,236.0
49099.47169811321,131.0
49099.62264150944,13.0
49102.49056603773,103.0
49102.64150943396,267.0
49102.79245283019,397.0
49102.943396226416,438.0
49103.09433962264,382.0
49103.24528301887,280.0
49103.3962264151,211.0
49103.54716981132,234.0
49103.698113207545,340.0
49103.84905660377,449.0
49104.0,455.0
49104.15094339623,290.0
49106.11320754717,85.0
49106.2641509434,289.0
49106.41509433962,337.0
49106.56603773585,231.99999999999997
49106.71698113208,65.0
49107.32075471698,37.0
49107.47169811321,28.999999999999996
49108.981132075474,82.0
49109.1320754717,253.0
49109.28301886792,371.99999999999994
49109.43396226415,387.0
49109.58490566038,308.0
49109.73584905661,207.0
49109.88679245283,162.0
49110.03773584906,198.00000000000003
49110.188679245286,274.0
49110.33962264151,319.0
49110.49056603773,286.0
49110.64150943396,196.0
49110.79245283019,109.0
49110.943396226416,75.0
49111.09433962264,84.0
49111.24528301887,69.0
49112.45283018868,2.0
49113.35849056604,21.0
49113.50943396227,162.99999999999997
49113.660377358494,182.0
49113.81132075472,107.0
49113.96226415094,20.0
49114.2641509434,31.0
49114.41509433962,86.0
49114.56603773585,94.0
49114.71698113208,40.0
49115.32075471698,52.0
49115.47169811321,127.0
49115.62264150944,134.0
49115.77358490566,66.0
49116.52830188679,27.0
49116.67924528302,99.00000000000001
49116.83018867925,155.0
49116.981132075474,202.0
49117.1320754717,247.0
49117.28301886792,277.0
49117.43396226415,272.0
49117.58490566038,222.0
49117.73584905661,150.0
49117.88679245283,103.0
49118.03773584906,115.99999999999999
49118.188679245286,183.0
49118.33962264151,247.0
49118.49056603773,229.0
