time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec),velocity(m/s)
1974-03-14T07:14:43.550811,26083.169811320757,2.5811251435919077e-10
1974-03-14T07:14:43.701755,26083.32075471698,3.0637907018628803e-10
1974-03-14T07:14:43.852698,26083.471698113208,2.1743735866504958e-10
1974-03-14T07:14:44.003642,26083.622641509435,3.762228687703281e-11
1974-03-14T07:14:45.664019,26085.283018867925,1.1544826637918991e-10
1974-03-14T07:14:45.814962,26085.43396226415,1.907065286325992e-10
1974-03-14T07:14:45.965906,26085.584905660377,1.3359943972232588e-10
1974-03-14T07:14:46.720623,26086.33962264151,6.16998026979804e-11
1974-03-14T07:14:46.871566,26086.490566037737,1.832596049593509e-10
1974-03-14T07:14:47.022509,26086.64150943396,2.2759207298407844e-10
1974-03-14T07:14:47.173453,26086.79245283019,1.8533448738826088e-10
1974-03-14T07:14:47.324396,26086.943396226416,8.629751191170325e-11
1974-03-14T07:14:48.230057,26087.849056603773,6.230247134305693e-11
1974-03-14T07:14:48.381000,26088.0,1.1860133067337875e-10
1974-03-14T07:14:48.531943,26088.150943396227,1.1314561260747891e-10
1974-03-14T07:14:48.682887,26088.30188679245,5.620624222500005e-11
1974-03-14T07:14:49.135717,26088.754716981133,8.151471695530826e-12
1974-03-14T07:14:49.286660,26088.90566037736,5.377086166895719e-11
1974-03-14T07:14:49.437604,26089.056603773584,4.6271276063570845e-11
1974-03-14T07:14:50.343264,26089.962264150945,1.982152236098064e-10
1974-03-14T07:14:50.494208,26090.11320754717,3.364242321873201e-10
1974-03-14T07:14:50.645151,26090.2641509434,3.02447026526593e-10
1974-03-14T07:14:50.796094,26090.415094339623,1.1885718437073335e-10
1974-03-14T07:14:52.154585,26091.77358490566,3.2898763075415905e-11
1974-03-14T07:14:52.305528,26091.924528301886,2.0672500745169507e-10
1974-03-14T07:14:52.456472,26092.075471698117,3.3852146939518665e-10
1974-03-14T07:14:52.607415,26092.22641509434,3.5959072220937486e-10
1974-03-14T07:14:52.758358,26092.377358490565,2.728445951355267e-10
1974-03-14T07:14:52.909302,26092.528301886792,1.4921272146365454e-10
1974-03-14T07:14:53.060245,26092.67924528302,6.851686306247221e-11
1974-03-14T07:14:53.211189,26092.830188679247,5.5166353828416236e-11
1974-03-14T07:14:53.362132,26092.98113207547,6.347862120381765e-11
1974-03-14T07:14:53.513075,26093.132075471694,2.4635949604193896e-11
1974-03-14T07:14:54.569679,26094.18867924528,1.3406744427492666e-11
1974-03-14T07:14:54.720623,26094.33962264151,7.479026980891723e-12
1974-03-14T07:14:54.871566,26094.490566037737,2.0424887837496152e-11
1974-03-14T07:14:55.022509,26094.64150943396,1.1944634766645123e-10
1974-03-14T07:14:55.173453,26094.79245283019,2.916065098466816e-10
1974-03-14T07:14:55.324396,26094.943396226416,4.345488264213212e-10
1974-03-14T07:14:55.475340,26095.094339622643,4.2693235074462656e-10
1974-03-14T07:14:55.626283,26095.245283018867,2.2661589723547727e-10
1974-03-14T07:14:57.437604,26097.056603773584,9.598733841216912e-11
1974-03-14T07:14:57.588547,26097.20754716981,1.586224804488858e-10
1974-03-14T07:14:57.739491,26097.35849056604,1.1630502112383851e-10
1974-03-14T07:14:57.890434,26097.509433962263,5.7880589558746e-11
1974-03-14T07:14:58.041377,26097.66037735849,8.575022081735557e-11
1974-03-14T07:14:58.192321,26097.81132075472,2.1977114152329458e-10
1974-03-14T07:14:58.343264,26097.962264150945,3.687960019660103e-10
1974-03-14T07:14:58.494208,26098.11320754717,3.983267763965932e-10
1974-03-14T07:14:58.645151,26098.2641509434,2.4313690150755703e-10
1974-03-14T07:14:59.399868,26099.01886792453,2.3409178690690433e-10
1974-03-14T07:14:59.550811,26099.169811320757,4.082271886247589e-10
1974-03-14T07:14:59.701755,26099.32075471698,3.5307499719121806e-10
1974-03-14T07:14:59.852698,26099.471698113208,1.0725460885855237e-10
1974-03-14T07:15:00.607415,26100.22641509434,5.97468809595813e-11
1974-03-14T07:15:00.758358,26100.377358490565,1.1069591020972226e-11
1974-03-14T07:15:01.664019,26101.283018867925,1.2314578847596958e-10
1974-03-14T07:15:01.814962,26101.43396226415,2.902682394712066e-10
1974-03-14T07:15:01.965906,26101.584905660377,2.8098939563456873e-10
1974-03-14T07:15:02.116849,26101.735849056604,1.486677082542259e-10
1974-03-14T07:15:02.267792,26101.88679245283,1.3430454358614889e-11
1974-03-14T07:15:02.569679,26102.18867924528,7.406519025766416e-11
1974-03-14T07:15:02.720623,26102.33962264151,2.2298952691243067e-10
1974-03-14T07:15:02.871566,26102.490566037737,3.108594666302669e-10
1974-03-14T07:15:03.022509,26102.64150943396,2.530668001765124e-10
1974-03-14T07:15:03.173453,26102.79245283019,5.6570921216107805e-11
1974-03-14T07:15:03.928170,26103.54716981132,2.3322625878013257e-10
1974-03-14T07:15:04.079113,26103.69811320755,3.8195710967064764e-10
1974-03-14T07:15:04.230057,26103.849056603773,3.2689816792831085e-10
1974-03-14T07:15:04.381000,26104.0,1.0550273594569001e-10
1974-03-14T07:15:04.984774,26104.603773584902,1.3547598456219084e-11
1974-03-14T07:15:05.135717,26104.754716981133,1.7564993062744463e-10
1974-03-14T07:15:05.286660,26104.90566037736,1.6525511950065723e-10
1974-03-14T07:15:06.192321,26105.81132075472,2.3056944319172518e-11
1974-03-14T07:15:06.343264,26105.962264150945,2.546724962748882e-10
1974-03-14T07:15:06.494208,26106.11320754717,3.1347893389264225e-10
1974-03-14T07:15:06.645151,26106.2641509434,2.178857564658606e-10
1974-03-14T07:15:06.796094,26106.415094339623,7.289464182121062e-11
1974-03-14T07:15:07.097981,26106.716981132075,2.6138974977519395e-11
1974-03-14T07:15:07.248925,26106.867924528306,1.456576656353189e-10
1974-03-14T07:15:07.399868,26107.01886792453,2.7548616506070795e-10
1974-03-14T07:15:07.550811,26107.169811320757,3.500961031312626e-10
1974-03-14T07:15:07.701755,26107.32075471698,3.4530324296131776e-10
1974-03-14T07:15:07.852698,26107.471698113208,2.716000072308246e-10
1974-03-14T07:15:08.003642,26107.622641509435,1.4696763402363855e-10
1974-03-14T07:15:09.211189,26108.830188679247,1.7988244486308727e-10
1974-03-14T07:15:09.362132,26108.98113207547,2.8025355379674416e-10
1974-03-14T07:15:09.513075,26109.132075471694,2.004433704956656e-10
